Parameter,Chisq,Chi Df,Pr(>Chisq),Pr(>PB)
MC.z,0.4754968148081389,1,0.49046918625319125,0.4925074925074925
MajoritySupport.f,1317.479892135816,2,0,9.99000999000999e-4
meta_d,0.8165897783910623,1,0.3661791248870564,0.4025974025974026
Polarized.z,11.88765412079374,1,5.650724618100345e-4,0.001998001998001998
Age.z,0.5417319148982642,1,0.4617158497874445,0.47652347652347654
Edu.z,2.3921287540579215,1,0.1219474685062808,0.11488511488511488
Income.z,1.909689182673901,1,0.16699778883520122,0.17082917082917082
Female,0.49056078876310494,1,0.4836772560373146,0.5084915084915085
MC.z:MajoritySupport.f,105.27470779621581,2,0,9.99000999000999e-4
MC.z:meta_d,0.01037732067561592,1,0.9188605491446886,0.9090909090909091
MajoritySupport.f:meta_d,14.214693959358556,2,8.190651085275835e-4,9.99000999000999e-4
MajoritySupport.f:Polarized.z,504.4898232384767,2,0,9.99000999000999e-4
MC.z:MajoritySupport.f:meta_d,9.409376887819235,2,0.009052734213065294,0.003996003996003996
